title,key,style,tempo,checked,audio_produced,chords,composers
Valse Hot,A-,,,,,"['Ab^7', 'Db^7', 'Cm7', 'F7', 'Bbm7', 'Eb7', 'Ab^7', 'F7', 'Bbm7', 'Dbm7', 'Cm7', 'F7', 'Bbm7', 'Eb7', 'Ab^7', 'Eb7']","Rollins, Sonny"
Walkin',F,,,,,"['F7', 'Bb7', 'F7', 'Cm7', 'F7', 'Bb7', 'Bo7', 'F7', 'Am7', 'D7', 'Gm7', 'C7', 'F7', 'D7', 'Gm7', 'C7']","Davis, Miles"
Watermelon Man,F,,,,,"['F7', 'F7', 'F7', 'F7', 'Bb7', 'Bb7', 'F7', 'F7', 'C7', 'Bb7', 'C7', 'Bb7', 'C7', 'Bb7', 'F7', 'F7']","Hancock, Herbie"
Wayne's Thang,e,,,,,"['Em7', 'Em7', 'C6', 'C6', 'B7', 'B7', 'Em7', 'Em7', 'Em7', 'Em7', 'C6', 'C6', 'B7', 'B7', 'Em7', 'Em7']","Garrett, Kenny"
We Will Meet Again,c,,,,,"['Cm6', 'Cm6', 'Fm7', 'Fm7', 'D%7', 'G7', 'Cm6', 'Cm6', 'Ab^7', 'G7', 'Cm6', 'Cm6', 'A%7', 'D7', 'Gsus', 'G7']","Evans, Bill"
Blue Bossa,c,,,,,"['Cm7', 'Cm7', 'Fm7', 'Fm7', 'D%7', 'G7', 'Cm7', 'Cm7', 'Ebm7', 'Ab7', 'Db^7', 'Db^7', 'D%7', 'G7', 'Cm7', 'D%7', 'G7']","Dorham, Kenny"
Coral,c,,,,,"['Cm7', 'F7', 'D^', 'Bb^7', 'A%7', 'D7', 'Gm7', 'C7', 'B^7', 'F#^7', 'G#m7', 'B^7', 'Gb^7', 'Gbsus', 'Fm7', 'D%7', 'G7']","Jarrett, Keith"
Israel,d,,,,,"['Dm', 'Dm7', 'Dm6', 'D7', 'Gm7', 'C7', 'F^7', 'Bb^7', 'E%7', 'A7', 'Dm', 'F7', 'Bb7', 'A7']","Carisi, John"
Mac The Knife,B-,,,,,"['Bb6', 'Bb6', 'Cm7', 'Cm7', 'F7', 'F7', 'Bb6', 'Bb6', 'Gm7', 'Gm7', 'Cm7', 'Cm7', 'Cm7', 'Cm7', 'F7', 'Bb6', 'Bb6']","Weill, Kurt"
Sugar,c,,,,,"['Cm7', 'D%7', 'G7', 'Cm7', 'G7', 'Cm7', 'Cm7', 'Gsus', 'G7', 'Cm7', 'Gb7', 'Fm7', 'Eb7', 'D%7', 'G7', 'Cm7', 'Db^7']","Turrentine, Stanley"
When It Rains,B,,,,,"['B7', 'G#m6', 'Em^7', 'B^', 'B7', 'G#m6', 'Em^7', 'B^', 'B7', 'E^7', 'C#7', 'E^7', 'G7', 'B^', 'G#m7', 'Em^7', 'B^']","Mehldau, Brad"
When The Saints Go Marching In,F,,,,,"['F^', 'F^', 'F^', 'F^', 'F^', 'F^', 'C7', 'C7', 'F^', 'F7', 'Bb^', 'Bbm', 'F^', 'G7', 'C7', 'F^', 'C7']",Traditional
Work Song,f,,,,,"['Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'Fm', 'C7', 'C7', 'Fm', 'Fm', 'Fm', 'Fm', 'F7', 'Bb7', 'G7', 'C7', 'Fm']","Adderley, Nat"
Beatrice,F,,,,,"['F^7', 'Gb^7', 'F^7', 'Eb^7', 'Dm7', 'Eb^7', 'Dm7', 'Cm7', 'Bbm7', 'Am7', 'Bb^7', 'E%7', 'A7', 'Dm7', 'Gm7', 'Gb^7', 'Fm7', 'Gb^7']","Rivers, Sam"
Humpty Dumpty,C,,,,,"['Eb^7', 'D^7', 'Gb^7', 'F^7', 'A7', 'Bb^7', 'Bbm7', 'Bbm7', 'Bbm7', 'Bbm7', 'Dm7', 'Bm7', 'Abm7', 'Abm7', 'Fm7', 'Abm7', 'Gb^7', 'Bb7']","Corea, Chick"
Jackie-ing,B-,,,,,"['Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7', 'Cm7', 'Fsus', 'Fsus', 'Bb^7', 'Bb^7', 'G7', 'Cm7', 'F7', 'Bb^7', 'Bb^7', 'Bb^7', 'Bb^7']","Monk, Thelonious"
Lady Bird,C,,,,,"['C^7', 'C^7', 'Fm7', 'Bb7', 'C^7', 'C^7', 'Bbm7', 'Eb7', 'Ab^7', 'Ab^7', 'Am7', 'D7', 'Dm7', 'G7', 'C^7', 'Eb^7', 'Ab^7', 'Db^7']","Dameron, Tadd"
On The Trail,F,,,,,"['F^7', 'F^7', 'F^7', 'F^7', 'F^7', 'Am7', 'D7', 'Gm7', 'C7', 'Abm7', 'Db7', 'Abm7', 'Db7', 'Gm7', 'C7', 'F6', 'Gm7', 'C7']","Grofe, Ferde"
Peace,B-,,,,,"['A%7', 'D7', 'Gm7', 'C7', 'B^7', 'C%7', 'F7', 'Bb^7', 'Bm7', 'E7', 'A^7', 'F#m7', 'Eb%7', 'Ab7', 'Db^7', 'C7', 'B7', 'Bb^7']","Silver, Horace"
Played Twice,C,,,,,"['C^7', 'Db7', 'Db7', 'A7', 'C^7', 'Db7', 'Gm7', 'C7', 'Fsus', 'Fsus', 'Fsus', 'Fsus', 'C^7', 'Db7', 'Db7', 'C7', 'A7', 'D^7']","Monk, Thelonious"
Sunny,a,,,,,"['Am7', 'C7', 'F^7', 'B%7', 'E7', 'Am7', 'C7', 'F^7', 'B%7', 'E7', 'Am7', 'C7', 'F^7', 'Bb7', 'B%7', 'E7', 'Am7', 'E7']","Hebb, Bobby"
"Swinging Shepherd Blues, The",B-,,,,,"['Bb6', 'Bb6', 'Bb6', 'Bb6', 'Eb7', 'Eb7', 'Bb7', 'Cm7', 'C#o7', 'Bb^', 'G7', 'Cm7', 'F7', 'Bb7', 'Eb7', 'Gb7', 'F7', 'Bb7']","Roberts, Rhoda & Koffman, Moe & Jacobson, Kenny"
United,F,,,,,"['E%7', 'A7', 'Dm', 'Dm', 'E%7', 'A7', 'Dm', 'Dm', 'Cm7', 'F7', 'Bb^7', 'Abm7', 'Db7', 'Gb^7', 'Gm7', 'C7', 'F^7', 'F^7']","Shorter, Wayne"
Cheryl,C,,,,,"['C7', 'Dm7', 'G7', 'C7', 'Gm7', 'C7', 'F7', 'F7', 'C7', 'E%7', 'A7', 'D%7', 'G7', 'C7', 'F6', 'F#o7', 'C7', 'G7', 'C7']","Parker, Charlie"
Fall,e,,,,,"['F#sus', 'B7', 'Esus', 'Eb^7', 'F#sus', 'B7', 'Esus', 'Eb^7', 'D^7', 'D7', 'Gm7', 'Bm7', 'Ab^7', 'F#sus', 'B7', 'Em7', 'C^7', 'Em7', 'C^7']","Shorter, Wayne"
Funkallero,c,,,,,"['D7', 'G7', 'Cm6', 'Cm6', 'D7', 'G7', 'Cm6', 'Cm6', 'Bbm7', 'Bbm7', 'Eb7', 'Ab^7', 'Db7', 'Cm7', 'Fm7', 'D7', 'G7', 'Cm6', 'Cm6']","Evans, Bill"
Si Si,F,,,,,"['F7', 'E%7', 'A7', 'Dm7', 'G7', 'Cm7', 'F7', 'Bb7', 'Bbm7', 'Eb7', 'F7', 'Am7', 'D7', 'Gm7', 'C7', 'F7', 'D7', 'Gm7', 'C7']","Parker, Charlie"
Yesterdays,d,,,,,"['Dm', 'E%7', 'A7', 'Dm', 'E%7', 'A7', 'Dm', 'Dm^7', 'Dm7', 'B%7', 'E7', 'A7', 'D7', 'G7', 'C7', 'F7', 'Bb^7', 'E%7', 'A7']","Kern, Jerome"
Afro Blue,f,,,,,"['Fm7', 'Gm7', 'Ab^7', 'Gm7', 'Fm7', 'Fm7', 'Gm7', 'Ab^7', 'Gm7', 'Fm7', 'Eb^', 'Eb^', 'Db^', 'Eb^', 'Fm7', 'Eb^', 'Eb^', 'Db^', 'Eb^', 'Fm7']","Santamaria, Mongo"
Blue Daniel,D,,,,,"['D6', 'C7', 'Bm7', 'E7', 'Bm7', 'E7', 'Bm7', 'E7', 'Gm7', 'C7', 'D^7', 'C7', 'Em7', 'A7', 'D6', 'C7', 'Bm7', 'E7', 'A7', 'D^7']","Rosolino, Frank"
Blues For Alice,F,,,,,"['F^7', 'E%7', 'A7', 'Dm7', 'G7', 'Cm7', 'F7', 'Bb7', 'Bbm7', 'Eb7', 'Am7', 'D7', 'Abm7', 'Db7', 'Gm7', 'C7', 'F7', 'D7', 'Gm7', 'C7']","Parker, Charlie"
Brotherhood Of Man,E-,,,,,"['Eb^', 'Eb^', 'Eb^', 'Eb^', 'Eb^', 'Fm7', 'Gm7', 'C7', 'F7', 'Bb7', 'Eb^', 'Eb^', 'Ab7', 'Co7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Eb^', 'Bb7']","Loesser, Frank"
