title,key,style,tempo,checked,audio_produced,chords,composers
Meditation,C,,,,,"['C6', 'C6', 'Bsus', 'B7', 'C6', 'C6', 'Em7', 'A7', 'Dm7', 'Dm7', 'Fm6', 'Fm6', 'Em7', 'A7', 'Dm7', 'G7', 'C6', 'C6', 'Bsus', 'B7', 'C6', 'C6', 'Em7', 'A7', 'Dm7', 'Dm7', 'Fm6', 'Fm6', 'Em7', 'A7', 'Dm7', 'G7', 'F^7', 'F^7', 'Fm6', 'Fm6', 'Em7', 'Ebo7', 'Dm7', 'G7', 'C6', 'C6', 'Bsus', 'B7', 'C6', 'C6', 'Em7', 'A7', 'Dm7', 'Dm7', 'Fm6', 'Fm6', 'Em7', 'A7', 'Dm7', 'G7', 'C6', 'Dm7', 'G7']","Jobim, Antonio Carlos"
My Old Flame,F,,,,,"['F^7', 'A%7', 'D7', 'Gm7', 'Bbm7', 'Eb7', 'F^7', 'Bbm7', 'Eb7', 'Ab^7', 'Db7', 'Gm7', 'C7', 'F^7', 'A%7', 'D7', 'Gm7', 'Bbm7', 'Eb7', 'F^7', 'Bbm7', 'Eb7', 'Ab^7', 'Db7', 'Gm7', 'C7', 'F^7', 'Bbm7', 'Eb7', 'Ab^7', 'Fm7', 'Bbm7', 'Eb7', 'Gb7', 'F7', 'Bb7', 'Bbm7', 'Eb7', 'G%7', 'C7', 'Fm7', 'Dm7', 'G7', 'Gm7', 'C7', 'F^7', 'A%7', 'D7', 'Gm7', 'Bbm7', 'Eb7', 'F^7', 'Bbm7', 'Eb7', 'Ab^7', 'Db7', 'Gm7', 'C7', 'F6']","Johnson, Arthur"
My Way,C,,,,,"['C^', 'C^7', 'C7', 'A7', 'Dm7', 'Dm7', 'G7', 'F^', 'C^', 'C^', 'C^7', 'Gm7', 'C7', 'F^7', 'Fm7', 'C^7', 'Am7', 'Dm7', 'G7', 'F^', 'C^', 'C^', 'C^7', 'C7', 'A7', 'Dm7', 'Dm7', 'G7', 'F^', 'C^', 'C^', 'C^7', 'Gm7', 'C7', 'F^7', 'Fm7', 'C^7', 'Am7', 'Dm7', 'G7', 'F^', 'C^', 'F^', 'C^', 'C^7', 'Gm7', 'C7', 'F^7', 'F^7', 'F^7', 'Dm7', 'G7', 'Em7', 'Am7', 'Dm7', 'G7', 'F^', 'C^', 'C^']","Francois, Claude & Thibault, Gilles"
Nice Work If You Can Get It,G,,,,,"['B7', 'E7', 'A7', 'D7', 'G7', 'C7', 'A7', 'A#o7', 'Bm7', 'Em7', 'Am7', 'D7', 'Am7', 'Dsus', 'G6', 'C7', 'B7', 'E7', 'A7', 'D7', 'G7', 'C7', 'A7', 'A#o7', 'Bm7', 'Em7', 'Am7', 'D7', 'Am7', 'Dsus', 'G6', 'B7', 'Em7', 'C7', 'Em7', 'A7', 'Dm', 'E%7', 'A7', 'Am7', 'D7', 'B7', 'E7', 'A7', 'D7', 'G7', 'C7', 'A7', 'A#o7', 'Bm7', 'Em7', 'Am7', 'D7', 'B7', 'E7', 'Am7', 'Dsus', 'G6', 'C7']","Gershwin, George"
Raincheck,F,,,,,"['F^7', 'Gm7', 'Am7', 'Bb^7', 'Am7', 'Abo7', 'Gm7', 'C7', 'F^7', 'Gm7', 'Am7', 'Gm7', 'F^7', 'Dm7', 'Gm7', 'C7', 'F^7', 'Gm7', 'Am7', 'Bb^7', 'Bm7', 'E7', 'A^7', 'F#m7', 'Bm7', 'E7', 'A^7', 'D7', 'Gm7', 'C7', 'F^7', 'Gm7', 'Am7', 'Bb^7', 'Am7', 'Abo7', 'Gm7', 'C7', 'F^7', 'Gm7', 'Am7', 'Gm7', 'F^7', 'Dm7', 'Gm7', 'C7', 'F^7', 'Cm7', 'F7', 'Bb^7', 'Bbm6', 'F^7', 'Gm7', 'Am7', 'D7', 'G7', 'Gb^7', 'F^7', 'Csus']","Strayhorn, Billy"
Satellite,G,,,,,"['G^7', 'Bb7', 'Eb^7', 'F#7', 'B^7', 'D7', 'Gm7', 'C7', 'F^7', 'Ab7', 'Db^7', 'E7', 'A^7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'A%7', 'D7', 'Gm7', 'A%7', 'D7', 'G^7', 'Fm7', 'Bb7', 'Eb^7', 'Gb7', 'B^7', 'D7', 'G^7', 'Bb7', 'Eb^7', 'F#7', 'B^7', 'D7', 'Gm7', 'C7', 'F^7', 'Ab7', 'Db^7', 'E7', 'A^7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'A%7', 'D7', 'G^7', 'Cm7', 'F7', 'Dsus', 'Dsus', 'Dsus', 'Dsus', 'Dsus', 'Dsus', 'Dsus', 'Dsus']","Coltrane, John"
Since I Fell For You,E-,,,,,"['Eb^7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'C7', 'Fm7', 'Bb7', 'Ab7', 'Gb7', 'F7', 'Bbsus', 'G7', 'C7', 'F7', 'Bb7', 'Eb^7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'C7', 'Fm7', 'Bb7', 'Ab7', 'Gb7', 'F7', 'Bbsus', 'Eb^7', 'Ab7', 'Bbm7', 'Eb7', 'Ab7', 'Db7', 'Eb7', 'Bbm7', 'Eb7', 'Ab7', 'Db7', 'Eb^7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'C7', 'Fm7', 'Bb7', 'Ab7', 'Gb7', 'F7', 'Bbsus', 'Eb6', 'C7', 'F7', 'Bb7']","Johnson, Buddy"
Someday (You'll Be Sorry),E-,,,,,"['Eb6', 'Eb^7', 'Cm7', 'Eb6', 'Am7', 'D7', 'Am7', 'D7', 'Eb6', 'Eb6', 'Cm7', 'Gm7', 'C7', 'C7', 'Fm7', 'Bb7', 'Fm7', 'Bb7', 'Db7', 'Gm7', 'Cm7', 'Fm7', 'Bb7', 'Fm7', 'Bb7', 'Eb6', 'Db7', 'C7', 'Gb7', 'F7', 'E7', 'Eb6', 'Eb^7', 'Cm7', 'Eb6', 'Am7', 'D7', 'Am7', 'D7', 'Eb6', 'Eb6', 'Cm7', 'Gm7', 'C7', 'C7', 'Fm7', 'Db7', 'Bb7', 'Eb^7', 'Gm7', 'Cm7', 'Fm7', 'Abm6', 'F7', 'E7', 'Eb6', 'Gm7', 'Fm7', 'Bb7']","Armstrong, Louis"
Speak No Evil,c,,,,,"['Cm7', 'Db^7', 'Cm7', 'Db^7', 'Cm7', 'Db^7', 'Cm7', 'Db^7', 'Ebm7', 'Em7', 'Cm7', 'Dm7', 'Bbm7', 'A7', 'Bbm7', 'A7', 'Bbm7', 'Cm7', 'Db^7', 'Cm7', 'Db^7', 'Cm7', 'Db^7', 'Cm7', 'Db^7', 'Ebm7', 'Em7', 'Cm7', 'Dm7', 'Bbm7', 'A7', 'Bbm7', 'A7', 'Bbm7', 'A%7', 'Ab7', 'Gm7', 'Gb7', 'Fm7', 'Bb7', 'Eb^7', 'Db^7', 'Cm7', 'Db^7', 'Cm7', 'Db^7', 'Cm7', 'Db^7', 'Cm7', 'Db^7', 'Ebm7', 'Em7', 'Cm7', 'Dm7', 'Bbm7', 'A7', 'Bbm7', 'A7', 'Bbm7']","Shorter, Wayne"
Wave,D,,,,,"['D^7', 'Bbo7', 'Am7', 'D7', 'G^7', 'Gm6', 'F#7', 'F#7', 'B7', 'B7', 'E7', 'Bb7', 'A7', 'Dm7', 'G7', 'Dm7', 'G7', 'D^7', 'Bbo7', 'Am7', 'D7', 'G^7', 'Gm6', 'F#7', 'F#7', 'B7', 'B7', 'E7', 'Bb7', 'A7', 'Dm7', 'G7', 'Dm7', 'G7', 'Gm7', 'C7', 'F^7', 'F^7', 'Fm7', 'Bb7', 'Eb^7', 'A7', 'D^7', 'Bbo7', 'Am7', 'D7', 'G^7', 'Gm6', 'F#7', 'F#7', 'B7', 'B7', 'E7', 'Bb7', 'A7', 'Dm7', 'G7', 'Dm7', 'G7']","Jobim, Antonio Carlos"
You're Everything,A,,,,,"['A^7', 'Abm6', 'G^7', 'F#7', 'Em7', 'G^7', 'G#sus', 'Gm7', 'F#m7', 'Fm7', 'Bb7', 'Em7', 'A7', 'D^7', 'Dm7', 'A^7', 'Abm6', 'G^7', 'F#7', 'Bm', 'Eb^7', 'A^7', 'G#7', 'G7', 'F#7', 'F7', 'E7', 'A^7', 'Em7', 'A^7', 'F^7', 'E^7', 'D#7', 'G#m', 'C#m7', 'G#m', 'G7', 'C^7', 'B7', 'Em7', 'A7', 'D^7', 'Dm7', 'A^7', 'Abm6', 'G^7', 'F#7', 'Bm', 'Eb^7', 'A^7', 'G#7', 'G7', 'F#7', 'F7', 'E7', 'A^7', 'Em7', 'A^7', 'Em7']","Corea, Chick"
Ain't Misbehavin',C,,,,,"['C6', 'A7', 'Dm7', 'G7', 'C6', 'C7', 'F6', 'Fm6', 'C6', 'A7', 'Dm7', 'G7', 'E7', 'A7', 'D7', 'G7', 'C6', 'A7', 'Dm7', 'G7', 'C6', 'C7', 'F6', 'Fm6', 'C6', 'A7', 'Dm7', 'G7', 'C6', 'Fm6', 'C6', 'E7', 'Am', 'F7', 'D7', 'A7', 'G6', 'E7', 'Am7', 'D7', 'G6', 'A7', 'D7', 'G7', 'C6', 'A7', 'Dm7', 'G7', 'C6', 'C7', 'F6', 'Fm6', 'C6', 'A7', 'Dm7', 'G7', 'C6', 'Am7', 'Dm7', 'G7']","Waller, Fats"
All My Tomorrows,G,,,,,"['Am7', 'Cm6', 'F7', 'Bm7', 'Bbo7', 'Bbo7', 'Am7', 'Bm7', 'E7', 'Am7', 'D7', 'Bm7', 'E7', 'Am7', 'Cm6', 'F7', 'Bm7', 'Bbo7', 'Bbo7', 'Am7', 'Bm7', 'E7', 'Am7', 'D7', 'Dm7', 'G7', 'C^7', 'Cm7', 'F7', 'Bm7', 'E7', 'F#%7', 'B7', 'Em7', 'Am7', 'D7', 'B%7', 'E7', 'Am7', 'Bm7', 'E7', 'Am7', 'Cm6', 'F7', 'Bm7', 'Bbo7', 'Bbo7', 'Am7', 'Bm7', 'E7', 'Am7', 'D7', 'Bm7', 'E7', 'Am7', 'Cm6', 'D7', 'G6', 'Bm7', 'E7']","van Heusen, Jimmy"
Blame It On My Youth,E-,,,,,"['Eb^7', 'Fm7', 'Gm7', 'Cm7', 'Fm7', 'Eo7', 'Fm7', 'C7', 'Fm7', 'Eo7', 'Fm7', 'Bb7', 'Eb^7', 'Cm7', 'Bbm7', 'Eb7', 'Ab^7', 'Bb7', 'Gm7', 'Cm7', 'Fm7', 'Bb7', 'Eb^7', 'D%7', 'G7', 'Cm7', 'Fm7', 'Bb7', 'Eb^7', 'Fm7', 'Gm7', 'Cm7', 'Fm7', 'Eo7', 'Fm7', 'C7', 'Fm7', 'Eo7', 'Fm7', 'Bb7', 'Eb^7', 'Cm7', 'Bbm7', 'Eb7', 'Ab^7', 'Bb7', 'Gm7', 'Cm7', 'Fm7', 'Fm7', 'Db7', 'C7', 'Fm7', 'Eo7', 'Fm7', 'Bb7', 'Eb6', 'Cm7', 'Fm7', 'Bb7']","Levant, Oscar"
Bunko,F,,,,,"['F^7', 'Ao7', 'Gm7', 'C7', 'F^7', 'Ao7', 'Gm7', 'C7', 'Cm7', 'F7', 'Bb^7', 'Bo7', 'F^', 'G7', 'C7', 'F^', 'F^7', 'F^7', 'Ao7', 'Gm7', 'C7', 'F^7', 'Ao7', 'Gm7', 'C7', 'Cm7', 'F7', 'Bb^7', 'Bo7', 'F^', 'G7', 'C7', 'F^', 'F^7', 'Cm7', 'F7', 'Bb^7', 'Bb^7', 'Bbm7', 'Eb7', 'Ab^7', 'Gm7', 'C7', 'F^7', 'Ao7', 'Gm7', 'C7', 'F^7', 'Ao7', 'Gm7', 'C7', 'Cm7', 'F7', 'Bb^7', 'Bo7', 'F^', 'G7', 'C7', 'F^', 'F^7']","Niehaus, Lenny"
Celia,B-,,,,,"['Bb^7', 'B7', 'Bb^7', 'B7', 'Bb^7', 'B7', 'Bb^7', 'B7', 'Bb^7', 'C%7', 'Dm7', 'Ebm7', 'Ab7', 'Dm7', 'Dbm7', 'Cm7', 'B7', 'Bb^7', 'C%7', 'F7', 'Bb^7', 'C%7', 'Dm7', 'Ebm7', 'Ab7', 'Dm7', 'Dbm7', 'Cm7', 'B7', 'Bb^7', 'Bb^7', 'A%7', 'D7', 'Gm7', 'Gm7', 'C7', 'C7', 'Cm7', 'B7', 'Bb^7', 'C%7', 'Dm7', 'Ebm7', 'Ab7', 'Dm7', 'Dbm7', 'Cm7', 'B7', 'Bb^7', 'Bb^7', 'Eb6', 'Ebm7', 'Ab7', 'Dm7', 'G7', 'Cm7', 'B7', 'Bb^7', 'Cm7', 'F7']","Powell, Bud"
Cry Me A River,E-,,,,,"['Cm', 'Cm7', 'Cm6', 'Cm7', 'Fm7', 'Bb7', 'Eb^7', 'G7', 'G%7', 'C7', 'F7', 'Fm7', 'Bbsus', 'Eb6', 'G7', 'Cm', 'Cm7', 'Cm6', 'Cm7', 'Fm7', 'Bb7', 'Eb^7', 'G7', 'G%7', 'C7', 'F7', 'Fm7', 'Bbsus', 'Eb6', 'A%7', 'D7', 'Gm', 'Cm6', 'D7', 'Gm', 'E%7', 'Eb7', 'D7', 'Gm', 'E%7', 'A%7', 'D7', 'G^7', 'Dm7', 'G7', 'Cm', 'Cm7', 'Cm6', 'Cm7', 'Fm7', 'Bb7', 'Eb^7', 'G7', 'G%7', 'C7', 'F7', 'Fm7', 'Bbsus', 'Eb6', 'G7']","Hamilton, Arthur"
Dancing On The Ceiling,F,,,,,"['F6', 'F7', 'F7', 'Bb6', 'C7', 'Am7', 'Abm7', 'Gm7', 'C7', 'F6', 'D7', 'Gm7', 'C7', 'F6', 'C7', 'F6', 'F7', 'F7', 'Bb6', 'C7', 'Am7', 'Abm7', 'Gm7', 'C7', 'F6', 'D7', 'Gm7', 'C7', 'F6', 'Gm7', 'Csus', 'C7', 'F^7', 'Cm7', 'F7', 'Bb6', 'Eb7', 'Eb7', 'F6', 'D7', 'Gm7', 'C7', 'F6', 'F7', 'F7', 'Bb6', 'C7', 'Am7', 'Abm7', 'Gm7', 'C7', 'F6', 'D7', 'Gm7', 'Csus', 'C7', 'F6', 'D7', 'Gm7', 'C7']","Rodgers, Richard"
Falling Grace,A-,,,,,"['Ab^7', 'Ab^7', 'D7', 'Gm7', 'Fm7', 'Bb7', 'Eb^7', 'D7', 'Gm7', 'C7', 'F^7', 'F#%7', 'B7', 'Em7', 'Am7', 'D7', 'G^7', 'Cm7', 'C#o7', 'Bb^7', 'Eb^7', 'E%7', 'A7', 'Dm7', 'Dbm7', 'Cm7', 'F7', 'Bb^7', 'Eb^7', 'Ab^7', 'Ab^7', 'D7', 'Gm7', 'Fm7', 'Bb7', 'Eb^7', 'D7', 'Gm7', 'C7', 'F^7', 'F#%7', 'B7', 'Em7', 'Am7', 'D7', 'G^7', 'Cm7', 'C#o7', 'Bb^7', 'Eb^7', 'E%7', 'A7', 'Dm7', 'Dbm7', 'Cm7', 'F7', 'Bb^7', 'Eb^7', 'Ab^7', 'Db^7']","Swallow, Steve"
Give Me The Simple Life,E-,,,,,"['Fm7', 'Bb7', 'Gm7', 'C7', 'D%7', 'G7', 'Cm7', 'Cm7', 'A%7', 'Abm6', 'Eb6', 'Gbo7', 'Fm7', 'C7', 'F7', 'C7', 'Fm7', 'Bb7', 'Gm7', 'C7', 'D%7', 'G7', 'Cm7', 'Cm7', 'A%7', 'Abm6', 'Eb6', 'Gbo7', 'Fm7', 'Bb7', 'Eb6', 'Cm7', 'Fm7', 'Bb7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'D%7', 'G7', 'Cm7', 'F7', 'Bb7', 'Fm7', 'Bb7', 'Gm7', 'C7', 'D%7', 'G7', 'Cm7', 'Cm7', 'A%7', 'Abm6', 'Eb6', 'Gbo7', 'Fm7', 'Bb7', 'Eb6', 'C7']","Bloom, Rube"
I Gotta Right To Sing The Blues,B-,,,,,"['Gm7', 'C7', 'Gm7', 'C7', 'Cm7', 'F7', 'F7', 'Fm7', 'Bb7', 'Fm7', 'Bb7', 'D%7', 'D%7', 'G7', 'G7', 'Gm7', 'C7', 'Gm7', 'C7', 'Cm7', 'F7', 'Cm7', 'F7', 'Bb6', 'Cm7', 'Dbo7', 'Bb6', 'Eb6', 'Eo7', 'Bb6', 'Bb6', 'G7', 'Gm7', 'C7', 'Gm7', 'C7', 'Cm7', 'F7', 'F7', 'Fm7', 'Bb7', 'Fm7', 'Bb7', 'D%7', 'D%7', 'G7', 'G7', 'Gm7', 'C7', 'Gm7', 'C7', 'Ab7', 'Ab7', 'Gm7', 'C7', 'Cm7', 'F7', 'Bb6', 'Dm7', 'G7']","Arlen, Harold"
I'm Old Fashioned,F,,,,,"['F6', 'Dm7', 'Gm7', 'C7', 'F^7', 'Dm7', 'Gm7', 'C7', 'Bb6', 'F^7', 'E%7', 'A7', 'Dm7', 'G7', 'Dm7', 'G7', 'Gm7', 'Gm7', 'Gm7', 'C7', 'F6', 'Dm7', 'Gm7', 'C7', 'F^7', 'Dm7', 'Bm7', 'E7', 'A^7', 'Bm7', 'C#m7', 'D7', 'E7', 'F#o7', 'Gm7', 'C7', 'F6', 'Dm7', 'Gm7', 'C7', 'F^7', 'Dm7', 'Gm7', 'C7', 'Cm7', 'F7', 'Bb^7', 'Eb7', 'Am7', 'Dm7', 'B%7', 'Bbm6', 'Am7', 'Dm7', 'Gm7', 'C7', 'F6', 'Dm7', 'Gm7', 'C7']","Kern, Jerome"
It's The Talk Of The Town,F,,,,,"['F^7', 'Abo7', 'Gm7', 'C7', 'F^7', 'F7', 'Bb^7', 'Eb7', 'F^7', 'E7', 'Eb7', 'D7', 'G7', 'Gm7', 'C7', 'F^7', 'Abo7', 'Gm7', 'C7', 'F^7', 'F7', 'Bb^7', 'Eb7', 'F^7', 'E7', 'Eb7', 'D7', 'G7', 'C7', 'F6', 'F7', 'Bb^7', 'D7', 'Gm7', 'D7', 'Gm7', 'A%7', 'D7', 'G7', 'Dm7', 'G7', 'Dm7', 'G7', 'C7', 'F^7', 'Abo7', 'Gm7', 'C7', 'F^7', 'F7', 'Bb^7', 'Eb7', 'F^7', 'E7', 'Eb7', 'D7', 'G7', 'C7', 'F6', 'C7']","Livingston, Jerry"
I Want To Talk About You,E-,,,,,"['Eb^7', 'Bbm7', 'Eb7', 'Ab^7', 'Abm7', 'Db7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Db7', 'C7', 'B7', 'Bb7', 'Eb^7', 'Bbm7', 'Eb7', 'Ab^7', 'Abm7', 'Db7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Eb^', 'Ab^', 'Eb^', 'Fm', 'Eb^', 'Fm', 'Eb^', 'Ab^', 'Bbm7', 'Eb7', 'Bbm7', 'Eb7', 'Bbm7', 'Eb7', 'Ab^7', 'Dm7', 'G7', 'C^7', 'Am7', 'Dm7', 'G7', 'Bb7', 'Eb^7', 'Bbm7', 'Eb7', 'Ab^7', 'Abm7', 'Db7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'Gm7', 'Fm7', 'Bb7']","Eckstine, Billy"
Monk's Mood,D-,,,,,"['Fm7', 'Bb7', 'C^', 'C^7', 'D%7', 'G7', 'Db^7', 'Bb7', 'A7', 'E7', 'Eb7', 'Dsus', 'Esus', 'Dm7', 'Bb7', 'Fm7', 'Bb7', 'C^', 'C^7', 'D%7', 'G7', 'Db^7', 'Bb7', 'A7', 'E7', 'Eb7', 'Ab7', 'G7', 'Db^7', 'Gm7', 'C7', 'Gm7', 'F#m7', 'F#m7', 'B7', 'E6', 'A%7', 'Ab7', 'Gsus', 'Abo7', 'A%7', 'F7', 'Fm7', 'Bbm7', 'Dm7', 'Bb7', 'Fm7', 'Bb7', 'C^', 'C^7', 'D%7', 'G7', 'Db^7', 'Bb7', 'A7', 'E7', 'Eb7', 'Ab7', 'G7', 'Db^7']","Monk, Thelonious"
Moonlight Becomes You,F,,,,,"['F^7', 'F#o7', 'Gm7', 'C7', 'F^7', 'A7', 'Bb^7', 'Eb7', 'Am7', 'D7', 'Gm7', 'C7', 'Am7', 'D7', 'Gm7', 'C7', 'F^7', 'F#o7', 'Gm7', 'C7', 'F^7', 'A7', 'Bb^7', 'Eb7', 'Am7', 'D7', 'Gm7', 'C7', 'F6', 'Cm7', 'F7', 'Bb^7', 'Bb7', 'Eb^7', 'F7', 'Bb^7', 'E%7', 'A7', 'Dm7', 'G7', 'Gm7', 'C7', 'F^7', 'F#o7', 'Gm7', 'C7', 'F^7', 'A7', 'Bb^7', 'Eb7', 'Am7', 'D7', 'Gm7', 'C7', 'A7', 'D7', 'G7', 'C7', 'F6', 'F6']","van Heusen, Jimmy"
Nutty,B-,,,,,"['Bb^7', 'Bo7', 'Cm7', 'C#o7', 'Bb^7', 'Cm7', 'F7', 'F7', 'Bb^7', 'Bo7', 'Cm7', 'F7', 'Bb^7', 'Cm7', 'F7', 'Bb^7', 'Bo7', 'Cm7', 'C#o7', 'Bb^7', 'Cm7', 'F7', 'F7', 'Bb^7', 'Bo7', 'Cm7', 'F7', 'Bb^7', 'Bb7', 'Eb^7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'Fm7', 'Bb7', 'Bb7', 'Eb^7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'Cm7', 'B7', 'Bb^7', 'Bo7', 'Cm7', 'C#o7', 'Bb^7', 'Cm7', 'F7', 'F7', 'Bb^7', 'Bo7', 'Cm7', 'F7', 'Bb^7', 'F7', 'Bb^', 'Bb^7']","Monk, Thelonious"
Ping Pong,C,,,,,"['Bb7', 'B7', 'Bb7', 'B7', 'Bb7', 'B7', 'Bb7', 'B7', 'Bb7', 'B7', 'Bb7', 'B7', 'Bb7', 'B7', 'Bb7', 'B7', 'Db^7', 'Cm7', 'F7', 'Bb^7', 'Ab^7', 'G7', 'Gb^7', 'Fm7', 'Bb7', 'Eb^7', 'D7', 'Db^7', 'Cm7', 'F7', 'Bb7', 'B7', 'Bb7', 'B7', 'Bb7', 'B7', 'Bb7', 'B7', 'Db^7', 'Cm7', 'F7', 'Bb^7', 'Ab^7', 'G7', 'Gb^7', 'Fm7', 'Bb7', 'Eb^7', 'D7', 'Db^7', 'Cm7', 'F7', 'Bbm7', 'Eb7', 'Ab^7', 'Gb^7', 'Fm7', 'Bb7', 'F#m7', 'B7']","Shorter, Wayne"
"Second Time Around, The",C,,,,,"['C^7', 'C^7', 'Em7', 'Ebo7', 'Dm7', 'Dm7', 'Dm7', 'Dm7', 'C^7', 'C^7', 'C6', 'C6', 'B%7', 'B%7', 'E7', 'Am7', 'Am7', 'C7', 'C7', 'F6', 'F6', 'Am7', 'D7', 'Dm7', 'G7', 'C^7', 'C^7', 'Em7', 'Ebo7', 'Dm7', 'Dm7', 'Dm7', 'Dm7', 'C^7', 'C^7', 'C6', 'C6', 'B%7', 'B%7', 'E7', 'Am7', 'Am7', 'C7', 'C7', 'F^7', 'F^7', 'D7', 'D7', 'Dm7', 'G7', 'E%7', 'E%7', 'A7', 'Dsus', 'D7', 'Gsus', 'Gsus', 'C6', 'Dm7', 'G7']","van Heusen, Jimmy"
Sippin' At Bells,F,,,,,"['F^7', 'Fm7', 'Bb7', 'Am7', 'Gm7', 'F#m7', 'B7', 'Bb^7', 'Bbm7', 'Eb7', 'Am7', 'Abm7', 'Db7', 'Gm7', 'C7', 'C#m7', 'F#7', 'Am7', 'Ab7', 'Db^7', 'Gb7', 'F^7', 'Fm7', 'Bb7', 'Am7', 'Gm7', 'F#m7', 'B7', 'Bb^7', 'Bbm7', 'Eb7', 'Am7', 'Abm7', 'Db7', 'Gm7', 'C7', 'C#m7', 'F#7', 'Am7', 'Ab7', 'Db^7', 'F^7', 'Fm7', 'Bb7', 'Am7', 'Gm7', 'F#m7', 'B7', 'Bb^7', 'Bbm7', 'Eb7', 'Am7', 'Abm7', 'Db7', 'Gm7', 'C7', 'C#m7', 'F#7', 'F6', 'F6']","Davis, Miles"
Smoke Gets In Your Eyes,E-,,,,,"['Eb^7', 'Gbo7', 'Fm7', 'Bb7', 'Bbm7', 'Eb7', 'Ab^7', 'Ao7', 'Gm7', 'Cm7', 'Fm7', 'Bb7', 'Gm7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'Gbo7', 'Fm7', 'Bb7', 'Bbm7', 'Eb7', 'Ab^7', 'Ao7', 'Gm7', 'Cm7', 'Fm7', 'Bb7', 'Eb6', 'Dbm7', 'Gb7', 'B^7', 'E7', 'Ebm7', 'Ab7', 'Dbm7', 'Gb7', 'B^7', 'Fm7', 'Bb7', 'Eb^7', 'C7', 'Fm7', 'Bb7', 'Eb^7', 'Gbo7', 'Fm7', 'Bb7', 'Bbm7', 'Eb7', 'Ab^7', 'Ao7', 'Gm7', 'Cm7', 'Fm7', 'Bb7', 'Eb6', 'Cm7', 'Fm7', 'Bb7']","Kern, Jerome"
"Sunday Kind Of Love, A",F,,,,,"['F^7', 'F#o7', 'Gm7', 'C7', 'Am7', 'D7', 'Bb^7', 'Bbm7', 'Am7', 'D7', 'Gm7', 'C7', 'F^7', 'D%7', 'Gm7', 'Db7', 'C7', 'F^7', 'F#o7', 'Gm7', 'C7', 'Am7', 'D7', 'Bb^7', 'Bbm7', 'Am7', 'D7', 'Gm7', 'C7', 'F^7', 'F^7', 'Cm7', 'F7', 'Cm7', 'F7', 'Bb^7', 'F7', 'Bb^7', 'G7', 'Dm7', 'G7', 'C7', 'F#o7', 'Gm7', 'F^7', 'F#o7', 'Gm7', 'C7', 'Am7', 'D7', 'Bb^7', 'Bbm7', 'Am7', 'D7', 'Gm7', 'C7', 'F^7', 'Gm7', 'Bbm', 'F^7']","Belle, Barbara & Leonard, Anita & Rhodes, Stan & Prima, Louis"
Up Jumped Spring,B-,,,,,"['Bb^7', 'G7', 'Cm7', 'F7', 'F#o7', 'Gm7', 'Fm7', 'E%7', 'A7', 'Dm7', 'Ebm7', 'Dm7', 'Ebm7', 'B7', 'E7', 'C%7', 'F7', 'Bb^7', 'G7', 'Cm7', 'F7', 'F#o7', 'Gm7', 'Fm7', 'E%7', 'A7', 'Dm7', 'Ebm7', 'Dm7', 'Ebm7', 'Cm7', 'F7', 'Bb6', 'A%7', 'D7', 'Gm7', 'C7', 'F^7', 'Dm7', 'Abm7', 'Ebm7', 'Cm7', 'F7', 'Bb^7', 'G7', 'Cm7', 'F7', 'F#o7', 'Gm7', 'Fm7', 'E%7', 'A7', 'Dm7', 'Ebm7', 'Dm7', 'Ebm7', 'Cm7', 'F7', 'B^7', 'Bb^7']","Hubbard, Freddie"
Benny's Tune,D-,,,,,"['Gbm6', 'Db^', 'Gbm6', 'Db^', 'Gbm6', 'Db^', 'Gbm6', 'Db^', 'B^7', 'Bbm7', 'F^', 'Absus', 'Eb^', 'Gb7', 'Db^', 'B7', 'G%7', 'Gbm6', 'Db^', 'B^7', 'A^7', 'D^', 'Db^', 'Gbm6', 'Db^', 'Db^', 'Gbm6', 'Db^', 'Gbm6', 'Db^', 'Gbm6', 'Db^', 'Gbm6', 'Db^', 'Gbm6', 'Db^', 'B^7', 'Bbm7', 'F^', 'Absus', 'Eb^', 'Gb7', 'Db^', 'B7', 'G%7', 'Gbm6', 'Db^', 'B^7', 'A^7', 'D^', 'Db^', 'Gbm6', 'Db^', 'Db^', 'Gbm6', 'Db^', 'Gbm6', 'Db^', 'E6', 'Eb7', 'D^7']","Loueke, Lionel"
