composers	title	key	tempo	style	checked	in_progress	Notes	turnaround	marked_	chords
Shorter, Wayne	Footprints	c	100	Jazz-Medium Swing	TRUE	TRUE		0	|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Cm7|Fm7|Fm7|Fm7|Fm7|Cm7|Cm7|Cm7|Cm7|D7|D7|Db7|Db7|Cm7|Cm7|Cm7|Cm7|	Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Cm7, Fm7, Fm7, Fm7, Fm7, Cm7, Cm7, Cm7, Cm7, D7, D7, Db7, Db7, Cm7, Cm7, Cm7, Cm7
Montgomery, Wes	Four On Six	g	240	Jazz-Up Tempo Swing	TRUE	TRUE		2	|Gm7|Gm7|Gm7|Gm7|Cm7 F7|Bbm7 Eb7|Am7 D7|Ebm7 Ab7|Gm7|Gm7|Gm7|Cm7 F7|Bb^7 Gm7|Eb7 D7|Gm7|A%7 D7|	Gm7, Gm7, Gm7, Gm7, Cm7, F7, Bbm7, Eb7, Am7, D7, Ebm7, Ab7, Gm7, Gm7, Gm7, Cm7, F7, Bb^7, Gm7, Eb7, D7, Gm7, A%7, D7
Flanagan, Tommy	Freight Train	A-	160	Jazz-Medium Up Swing	TRUE	TRUE		-1	|Ab^7|G%7 C7|Fm7 Em7|Ebm7 Ab7|Db^7|Dbm7 Gb7|Cm7 F7|Bm7 E7|Bbm7|Eb7|Cm7 F7|Bbm7 Eb7|	Ab^7, G%7, C7, Fm7, Em7, Ebm7, Ab7, Db^7, Dbm7, Gb7, Cm7, F7, Bm7, E7, Bbm7, Eb7, Cm7, F7, Bbm7, Eb7
Monk, Thelonious	Friday The 13th	G	100	Jazz-Medium Swing	TRUE	TRUE		NT	|G^7 F7|Eb7 D7|G^7 F7|Eb7 D7|G^7 F7|Eb7 D7|G^7 F7|Eb7 D7|	G^7, F7, Eb7, D7, G^7, F7, Eb7, D7, G^7, F7, Eb7, D7, G^7, F7, Eb7, D7
Evans, Bill	Funkallero	c	160	Jazz-Medium Up Swing	TRUE	TRUE		0	|D7|G7|Cm6|Cm6|D7|G7|Cm6|Cm6|Bbm7|Bbm7 Eb7|Ab^7 Db7|Cm7 Fm7|D7|G7|Cm6|Cm6|	D7, G7, Cm6, Cm6, D7, G7, Cm6, Cm6, Bbm7, Bbm7, Eb7, Ab^7, Db7, Cm7, Fm7, D7, G7, Cm6, Cm6
Morgan, Lee	Gary's Notebook	c	100	Jazz-Medium Swing	TRUE	TRUE		1	|Cm|Db7|Cm|Db7|Cm|Db7|Cm|Db7|Cm|Db7|Cm|Db7|Cm|Db7|Cm|C7|Fm6|F#7|Fm6|Fm6|Cm|Db7|Cm|Cm6|Ebm7|Ab7|Dm7|G7|Cm|Db7|Cm|Db7|	Cm, Db7, Cm, Db7, Cm, Db7, Cm, Db7, Cm, Db7, Cm, Db7, Cm, Db7, Cm, C7, Fm6, F#7, Fm6, Fm6, Cm, Db7, Cm, Cm6, Ebm7, Ab7, Dm7, G7, Cm, Db7, Cm, Db7
Hefti, Neal	Girl Talk	F	80	Jazz-Slow Swing	TRUE	TRUE		-1	|F^7 B7|Bb^7 Eb7|Am7 D7|Gm7&Am7&Bb6&C7|Fm7 Bbm7|G7 C7|Am7 D7|Am7&Bbm7&Cm7&D7|G7|C7 Bbm7|Am7 Dm7|Gm7 C7|	F^7, B7, Bb^7, Eb7, Am7, D7, Gm7, Am7, Bb6, C7, Fm7, Bbm7, G7, C7, Am7, D7, Am7, Bbm7, Cm7, D7, G7, C7, Bbm7, Am7, Dm7, Gm7, C7
Rodgers, Richard	Glad To Be Unhappy	F	60	Jazz-Ballad Swing	TRUE	TRUE		0	|Gm7|Eb^7|C7|C7|Gm7|Eb7|C7|C7&F^&F7|Bb^7 Bo7|F^7|Gm7 C7|F^7|Bb^7 Bo7|F^7|Gm7 C7|F^7|Gm7|Eb^7|C7|C7|F^7 Dm7|Gm7 C7|F^7|F^7|	Gm7, Eb^7, C7, C7, Gm7, Eb7, C7, C7, F^, F7, Bb^7, Bo7, F^7, Gm7, C7, F^7, Bb^7, Bo7, F^7, Gm7, C7, F^7, Gm7, Eb^7, C7, C7, F^7, Dm7, Gm7, C7, F^7, F^7
Distel, Sacha	Good Life, The	A-	60	Jazz-Ballad Swing	TRUE	TRUE		2	|Ab^7|Ab^7|Gm7|C7|Fm7|Fm7|D%7|G7|Db^7|Gb7|Ab^7|G%7 C7|Fm7|Bb7|Bbm7|Eb7|Ab^7|Ab^7|Gm7|C7|Fm7|Fm7|D%7|G7|Db^7|Gb7|Ab^7|F7|Bbm7|Ebsus Eb7|Ab6|Bbm7 Eb7|	Ab^7, Ab^7, Gm7, C7, Fm7, Fm7, D%7, G7, Db^7, Gb7, Ab^7, G%7, C7, Fm7, Bb7, Bbm7, Eb7, Ab^7, Ab^7, Gm7, C7, Fm7, Fm7, D%7, G7, Db^7, Gb7, Ab^7, F7, Bbm7, Ebsus, Eb7, Ab6, Bbm7, Eb7
Corea, Chick	Got A Match?	d	240	Jazz-Up Tempo Swing	TRUE	TRUE		1	|Dm7|A7|Dm7|D7|Gm7|D7|Gm7|Gm7|Em7 A7|Fm7 Bb7|Eb^7|Em7 A7|Dm7|E%7 A7|Dm7|A7|	Dm7, A7, Dm7, D7, Gm7, D7, Gm7, Gm7, Em7, A7, Fm7, Bb7, Eb^7, Em7, A7, Dm7, E%7, A7, Dm7, A7
